"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"steph4","01",2.09039713347268,14.86,-8.16,-2.71,8.89,"Air_Temp"
"steph4","01",41.9692282201893,110.064002990723,0.316000014543533,10.4938499450684,83.5869979858398,"Snow_Depth_qaqc"
"steph4","02",-1.10297141055287,15.29,-14.55,-8.038,6.08,"Air_Temp"
"steph4","02",51.7335444554624,214.018997192383,8.51500034332275,17.6620006561279,118.728947067261,"Snow_Depth_qaqc"
"steph4","03",0.809391321044547,17.3,-8.93,-4.17,7.34,"Air_Temp"
"steph4","03",64.7530269384678,159.891006469727,0,20.6000003814697,137.184005737305,"Snow_Depth_qaqc"
"steph4","04",2.81251784680687,19.1,-6.42,-2.387,10.708,"Air_Temp"
"steph4","04",40.2716541626646,207.195999145508,0,0,135.923004150391,"Snow_Depth_qaqc"
"steph4","05",7.99150115855677,24.2,-2.48,0.82,16.89,"Air_Temp"
"steph4","05",9.03370611925412,84.8479995727539,0,0,63.0880012512207,"Snow_Depth_qaqc"
"steph4","06",9.60210126582279,28.82,1.7,3.91,17.761,"Air_Temp"
"steph4","06",0,0,0,0,0,"Snow_Depth_qaqc"
"steph4","07",13.2040080699395,30.34,4.09,7.22,22.18,"Air_Temp"
"steph4","07",0,0,0,0,0,"Snow_Depth_qaqc"
"steph4","08",13.7576209677419,27.68,4.32,7.7,21.58,"Air_Temp"
"steph4","08",0,0,0,0,0,"Snow_Depth_qaqc"
"steph4","09",11.1690328842201,27.55,2.56,4.92,19.793,"Air_Temp"
"steph4","09",0,0,0,0,0,"Snow_Depth_qaqc"
"steph4","10",6.22623311173065,20.32,-2.16,0.963000000000001,13.509,"Air_Temp"
"steph4","10",32.3024843209292,233.960998535156,0,0,230.177001953125,"Snow_Depth_qaqc"
"steph4","11",2.26103340675477,13.6,-11.47,-3.6665,8.57,"Air_Temp"
"steph4","11",7.92828163320618,52.9830017089844,0,0,23.5827991485595,"Snow_Depth_qaqc"
"steph4","12",-0.287879025923017,13.4,-14.32,-7.122,6.061,"Air_Temp"
"steph4","12",30.0043755188311,115.740997314453,0,2,70.916251373291,"Snow_Depth_qaqc"
