"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"steph1","01",-3.08333776007083,10.11,-20.07,-9.4615,4.2015,"Air_Temp"
"steph1","02",-4.4,12.35,-20.9,-12.53,3.27,"Air_Temp"
"steph1","03",-3.38216753496024,15.2,-17.21,-9.58,3.05,"Air_Temp"
"steph1","04",-1.48773261758691,17.55,-11.43,-7.06,7.41849999999999,"Air_Temp"
"steph1","05",3.40350685871056,17.64,-7.81,-3.46,12.4255,"Air_Temp"
"steph1","06",5.78448253650157,29.64,-3.61,-0.96,16.52,"Air_Temp"
"steph1","07",9.56550990631239,25.25,-0.09,2.83,18.805,"Air_Temp"
"steph1","08",10.9602862903226,27.37,-0.21,3.4995,19.7205,"Air_Temp"
"steph1","09",6.69617204899777,24.55,-3.08,0.0715000000000003,15.91,"Air_Temp"
"steph1","10",2.5457678197065,19.82,-7.18,-3.36,13.5845,"Air_Temp"
"steph1","11",-1.77883750488854,15.01,-17.68,-8.357,5.46,"Air_Temp"
"steph1","12",-4.62278449820788,10.23,-17.64,-11.45,2.57849999999999,"Air_Temp"
