"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"steph8","01",0.931257828810021,11.05,-9.99,-4.77,5.05,"Air_Temp"
"steph8","01",41.9692282201893,110.064002990723,0.316000014543533,10.4938499450684,83.5869979858398,"Snow_Depth_qaqc"
"steph8","02",-0.642814000505433,24.97,-11.61,-6.52,4.25,"Air_Temp"
"steph8","02",51.7335444554624,214.018997192383,8.51500034332275,17.6620006561279,118.728947067261,"Snow_Depth_qaqc"
"steph8","03",1.84907342657343,20.48,-8.76,-3.66,8.6125,"Air_Temp"
"steph8","03",64.7530269384678,159.891006469727,0,20.6000003814697,137.184005737305,"Snow_Depth_qaqc"
"steph8","04",4.36672222222222,24.32,-3.75,-1.0415,12.101,"Air_Temp"
"steph8","04",40.2716541626646,207.195999145508,0,0,135.923004150391,"Snow_Depth_qaqc"
"steph8","05",8.87312877792379,27.28,-0.7,2.21,18.906,"Air_Temp"
"steph8","05",9.03370611925412,84.8479995727539,0,0,63.0880012512207,"Snow_Depth_qaqc"
"steph8","06",10.6819464639788,32.2,2.93,5.1075,19.78,"Air_Temp"
"steph8","06",0,0,0,0,0,"Snow_Depth_qaqc"
"steph8","07",14.0086155913978,31.79,4.64,7.6565,23.2915,"Air_Temp"
"steph8","07",0,0,0,0,0,"Snow_Depth_qaqc"
"steph8","08",14.735085125448,29.19,6.23,8.77,24.469,"Air_Temp"
"steph8","08",0,0,0,0,0,"Snow_Depth_qaqc"
"steph8","09",10.9369668246445,32.43,1.45,5.2,19.13,"Air_Temp"
"steph8","09",0,0,0,0,0,"Snow_Depth_qaqc"
"steph8","10",6.36828102366007,22.8,-2.42,1.04,13.109,"Air_Temp"
"steph8","10",32.3024843209292,233.960998535156,0,0,230.177001953125,"Snow_Depth_qaqc"
"steph8","11",2.63980488850772,12.36,-7.63,-2.5955,7.72,"Air_Temp"
"steph8","11",7.92828163320618,52.9830017089844,0,0,23.5827991485595,"Snow_Depth_qaqc"
"steph8","12",-0.623478546409807,11.1,-16.87,-8.4,5.57949999999999,"Air_Temp"
"steph8","12",30.0043755188311,115.740997314453,0,2,70.916251373291,"Snow_Depth_qaqc"
