"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"steph7","01",1.0013174039393,10.27,-15.18,-5.426,5.2,"Air_Temp"
"steph7","01",41.9692282201893,110.064002990723,0.316000014543533,10.4938499450684,83.5869979858398,"Snow_Depth_qaqc"
"steph7","02",-0.620347874102706,14.24,-13.73,-7.639,4.9595,"Air_Temp"
"steph7","02",51.7335444554624,214.018997192383,8.51500034332275,17.6620006561279,118.728947067261,"Snow_Depth_qaqc"
"steph7","03",1.42114994934144,20.6,-10.9,-4.2265,8.82,"Air_Temp"
"steph7","03",64.7530269384678,159.891006469727,0,20.6000003814697,137.184005737305,"Snow_Depth_qaqc"
"steph7","04",3.55165,23.06,-5.05,-2.2525,12.3625,"Air_Temp"
"steph7","04",40.2716541626646,207.195999145508,0,0,135.923004150391,"Snow_Depth_qaqc"
"steph7","05",7.33436847103514,27.92,-3.23,0.91,16.65,"Air_Temp"
"steph7","05",9.03370611925412,84.8479995727539,0,0,63.0880012512207,"Snow_Depth_qaqc"
"steph7","06",10.2646059291396,36.63,1.37,4.33,19.762,"Air_Temp"
"steph7","06",0,0,0,0,0,"Snow_Depth_qaqc"
"steph7","07",12.7822384650525,33.42,3.01,6.52,22.113,"Air_Temp"
"steph7","07",0,0,0,0,0,"Snow_Depth_qaqc"
"steph7","08",13.4193301971326,34.18,2.93,6.51,23.2885,"Air_Temp"
"steph7","08",0,0,0,0,0,"Snow_Depth_qaqc"
"steph7","09",11.2991094280491,30.9,-0.79,5.138,20.592,"Air_Temp"
"steph7","09",0,0,0,0,0,"Snow_Depth_qaqc"
"steph7","10",5.83708222419403,24.2,-4.44,-0.17,13.35,"Air_Temp"
"steph7","10",32.3024843209292,233.960998535156,0,0,230.177001953125,"Snow_Depth_qaqc"
"steph7","11",2.3279581019687,14.49,-9.29,-3.66,8.1195,"Air_Temp"
"steph7","11",7.92828163320618,52.9830017089844,0,0,23.5827991485595,"Snow_Depth_qaqc"
"steph7","12",-1.0168508002065,8.12,-18.21,-8.7975,4.04,"Air_Temp"
"steph7","12",30.0043755188311,115.740997314453,0,2,70.916251373291,"Snow_Depth_qaqc"
