"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"machmell","01",0.267180154219698,8.80000019073486,-20.7999992370605,-9.80000019073486,4.90000009536743,"Air_Temp"
"machmell","02",-0.901762941118612,11,-16.1000003814697,-9.5,5.19999980926514,"Air_Temp"
"machmell","03",2.52680826828859,22,-12.1999998092651,-4,10.8000001907349,"Air_Temp"
"machmell","04",6.25753810437874,27.8999996185303,-5.19999980926514,-1,16.2999992370605,"Air_Temp"
"machmell","05",11.1489988849925,30.2000007629395,-0.699999988079071,3.40000009536743,22.6000003814697,"Air_Temp"
"machmell","06",13.5475578677599,40.2000007629395,1.60000002384186,6.59999990463257,25,"Air_Temp"
"machmell","07",15.9563089347389,36.2000007629395,5.19999980926514,9.60000038146973,26.2000007629395,"Air_Temp"
"machmell","08",16.2541514288352,35.0999984741211,5.90000009536743,10,26.4549998283386,"Air_Temp"
"machmell","09",12.1835112030416,30.1000003814697,-1.20000004768372,6.09999990463257,20.7999992370605,"Air_Temp"
"machmell","10",6.6531780170396,22.8999996185303,-4.90000009536743,0.100000001490116,13.6999998092651,"Air_Temp"
"machmell","11",2.24027584480294,14.1999998092651,-14.3999996185303,-5.33500015735626,8.13500018119807,"Air_Temp"
"machmell","12",-1.57180939298048,9.89999961853027,-22.1000003814697,-12.8000001907349,4.5,"Air_Temp"
